"1922/01/14","Paris, France","Handley Page Transport",NULL,NULL,"Handley Page O/10","G-EATN","HP-43",4,1,4,1,5,"Crashed at Le Bourget field."
"1922/02/21","Near Norfolk, Virginia","Military - U.S. Army Air Service",NULL,NULL,"Dirigible Roma (airship)",NULL,NULL,NULL,NULL,NULL,NULL,0,"Crashed from a height of 500 ft. after experiencing control problems cause by malfunctioning controls."
"1922/03/22","North Atlantic Ocean","Aero Limited",NULL,"Miami - Bimini","Aeromarine Model 85 (flying boat)",NULL,NULL,5,1,5,0,0,"The plane ditched into the ocean about 40 miles East of Florida after a propeller blade broke. Only the pilot survived, being picked up over 2 days later. The flying boat was named Miss Miami."
"1922/04/07","Grandvilliers, France","Daimler Airways / Grands Express Aeriens",NULL,"Croydon - Le Bourget","de Havilland DH-18 / Farman F-60 Goliath","G-EAOW/FGEAD","4",5,2,5,2,0,"A midair collision occurred at 400 ft. in poor visibility approximately 18 miles north of Beauvais, France. The pilots of both planes were using the road as a route marker in bad weather and poor visibility. This was thefirst commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60."
"1922/04/08","Pao Ting Fou, China",NULL,NULL,"Test",NULL,NULL,NULL,0,1,0,1,0,"Aboard were all workers taking part in a flight test. All seventeen aboard were Chinese nationals."
"1922/06/03","Off Folkestone, Kent, England","Cie des Messageries Aeriennes",NULL,"Croydon - Paris","Bleriot Spad 27","F-ACMH","555",2,1,2,1,0,"Went down into the English Channel while en route."
"1922/07/04","Fuhlsbuttel, Germany",NULL,NULL,"Hamburg - Berlin","LVG C VI",NULL,NULL,2,1,1,1,0,"The passenger/mail plane lost its engine while taking off and crashed into trees. Actress Fern Andra survived the accident but her director, Georg Bluen did not. The pilot, Lothar von Richthofen, was also killed. He was a World War I ace and brother of Manfred von Richthofen (The Red Baron)."
"1922/07/16","Near Saverne, Lorraine, France","Compagnie Franco-Roumaine de Navigaation Aerienne",NULL,"Strasbourg - Paris","Potez 29","F-FREI","25",4,1,4,1,0,"Lost an engine and could not make an emergency landing because of gusty winds. Stalled while making a turn and crashed."
"1922/07/26","Cadix, Spain","Grands Express Aeriens",NULL,NULL,"Breguet 14","F-ALVE","117",2,1,2,1,0,"While attempting to make an emergency landing due to engine problems, the aircraft hit telephone lines and crashed."
"1922/09/07","Indianapolis, Indiana","US Aerial Mail Service",NULL,NULL,"De Havilland DH-4","227",NULL,0,1,0,1,0,"The plane stalled shortly after takeoff and crashed."
"1922/10/02","Venice, Italy",NULL,NULL,"Venice - London","de Havilland DH-9","G-EAYT","14",3,1,3,1,0,"Shortly after taking off the plane crashed into the sea and sank."
"1922/10/25","Larache, Morocco","Grands Express Aeriens",NULL,NULL,"Breguet 14",NULL,NULL,1,1,1,1,0,"Crashed while on a flight from France."
"1922/12/03","Fez, Morocco","Grands Express Aeriens",NULL,"Toulouse - Barcelona - Valencia - Alicante - Malaga - Rabat","Breguet 14","F-ALNA","14",0,1,0,1,0,"While flying in foggy conditions the pilot reduced altitude and crashed into a hill."
